id_municipio,municipio,ano,sexo,valor
Município (Código),Município,Ano,Sexo,
1100015,Alta Floresta D'Oeste - RO,2010,Total,89.3
1100023,Ariquemes - RO,2010,Total,92.8
1100031,Cabixi - RO,2010,Total,87.8
1100049,Cacoal - RO,2010,Total,92.5
1100056,Cerejeiras - RO,2010,Total,90.7
1100064,Colorado do Oeste - RO,2010,Total,88.8
1100072,Corumbiara - RO,2010,Total,88.8
1100080,Costa Marques - RO,2010,Total,92.5
1100098,Espigão D'Oeste - RO,2010,Total,89.7
1100106,Guajará-Mirim - RO,2010,Total,92.7
1100114,Jaru - RO,2010,Total,90.3
1100122,Ji-Paraná - RO,2010,Total,92.9
1100130,Machadinho D'Oeste - RO,2010,Total,89.4
1100148,Nova Brasilândia D'Oeste - RO,2010,Total,90.0
1100155,Ouro Preto do Oeste - RO,2010,Total,90.6
1100189,Pimenta Bueno - RO,2010,Total,92.5
1100205,Porto Velho - RO,2010,Total,95.2
1100254,Presidente Médici - RO,2010,Total,88.9
1100262,Rio Crespo - RO,2010,Total,88.3
1100288,Rolim de Moura - RO,2010,Total,91.8
1100296,Santa Luzia D'Oeste - RO,2010,Total,88.3
1100304,Vilhena - RO,2010,Total,94.5
1100320,São Miguel do Guaporé - RO,2010,Total,90.4
1100338,Nova Mamoré - RO,2010,Total,88.3
1100346,Alvorada D'Oeste - RO,2010,Total,88.3
1100379,Alto Alegre dos Parecis - RO,2010,Total,87.9
1100403,Alto Paraíso - RO,2010,Total,89.6
1100452,Buritis - RO,2010,Total,91.2
1100502,Novo Horizonte do Oeste - RO,2010,Total,87.2
1100601,Cacaulândia - RO,2010,Total,88.2
1100700,Campo Novo de Rondônia - RO,2010,Total,89.0
1100809,Candeias do Jamari - RO,2010,Total,90.1
1100908,Castanheiras - RO,2010,Total,87.4
1100924,Chupinguaia - RO,2010,Total,90.7
1100940,Cujubim - RO,2010,Total,89.2
1101005,Governador Jorge Teixeira - RO,2010,Total,88.2
1101104,Itapuã do Oeste - RO,2010,Total,88.7
1101203,Ministro Andreazza - RO,2010,Total,88.9
1101302,Mirante da Serra - RO,2010,Total,88.1
1101401,Monte Negro - RO,2010,Total,87.2
1101435,Nova União - RO,2010,Total,87.9
1101450,Parecis - RO,2010,Total,86.9
1101468,Pimenteiras do Oeste - RO,2010,Total,91.6
1101476,Primavera de Rondônia - RO,2010,Total,88.2
1101484,São Felipe D'Oeste - RO,2010,Total,86.8
1101492,São Francisco do Guaporé - RO,2010,Total,91.6
1101500,Seringueiras - RO,2010,Total,90.7
1101559,Teixeirópolis - RO,2010,Total,88.5
1101609,Theobroma - RO,2010,Total,86.5
1101708,Urupá - RO,2010,Total,87.2
1101757,Vale do Anari - RO,2010,Total,86.6
1101807,Vale do Paraíso - RO,2010,Total,88.5
1200013,Acrelândia - AC,2010,Total,86.2
1200054,Assis Brasil - AC,2010,Total,79.7
1200104,Brasiléia - AC,2010,Total,83.8
1200138,Bujari - AC,2010,Total,77.6
1200179,Capixaba - AC,2010,Total,81.0
1200203,Cruzeiro do Sul - AC,2010,Total,83.8
1200252,Epitaciolândia - AC,2010,Total,85.4
1200302,Feijó - AC,2010,Total,68.1
1200328,Jordão - AC,2010,Total,74.4
1200336,Mâncio Lima - AC,2010,Total,78.5
1200344,Manoel Urbano - AC,2010,Total,69.2
1200351,Marechal Thaumaturgo - AC,2010,Total,68.6
1200385,Plácido de Castro - AC,2010,Total,83.7
1200393,Porto Walter - AC,2010,Total,67.5
1200401,Rio Branco - AC,2010,Total,91.8
1200427,Rodrigues Alves - AC,2010,Total,72.1
1200435,Santa Rosa do Purus - AC,2010,Total,72.0
1200450,Senador Guiomard - AC,2010,Total,84.2
1200500,Sena Madureira - AC,2010,Total,77.2
1200609,Tarauacá - AC,2010,Total,71.8
1200708,Xapuri - AC,2010,Total,79.3
1200807,Porto Acre - AC,2010,Total,79.3
1300029,Alvarães - AM,2010,Total,80.7
1300060,Amaturá - AM,2010,Total,79.2
1300086,Anamã - AM,2010,Total,85.5
1300102,Anori - AM,2010,Total,81.1
1300144,Apuí - AM,2010,Total,90.3
1300201,Atalaia do Norte - AM,2010,Total,64.5
1300300,Autazes - AM,2010,Total,84.9
1300409,Barcelos - AM,2010,Total,67.0
1300508,Barreirinha - AM,2010,Total,89.9
1300607,Benjamin Constant - AM,2010,Total,79.8
1300631,Beruri - AM,2010,Total,75.8
1300680,Boa Vista do Ramos - AM,2010,Total,92.0
1300706,Boca do Acre - AM,2010,Total,76.0
1300805,Borba - AM,2010,Total,84.6
1300839,Caapiranga - AM,2010,Total,85.9
1300904,Canutama - AM,2010,Total,72.1
1301001,Carauari - AM,2010,Total,75.3
1301100,Careiro - AM,2010,Total,87.3
1301159,Careiro da Várzea - AM,2010,Total,85.0
1301209,Coari - AM,2010,Total,83.7
1301308,Codajás - AM,2010,Total,82.5
1301407,Eirunepé - AM,2010,Total,68.8
1301506,Envira - AM,2010,Total,69.0
1301605,Fonte Boa - AM,2010,Total,76.4
1301654,Guajará - AM,2010,Total,72.0
1301704,Humaitá - AM,2010,Total,84.3
1301803,Ipixuna - AM,2010,Total,64.1
1301852,Iranduba - AM,2010,Total,87.4
1301902,Itacoatiara - AM,2010,Total,91.1
1301951,Itamarati - AM,2010,Total,64.0
1302009,Itapiranga - AM,2010,Total,92.1
1302108,Japurá - AM,2010,Total,72.3
1302207,Juruá - AM,2010,Total,67.6
1302306,Jutaí - AM,2010,Total,72.1
1302405,Lábrea - AM,2010,Total,74.0
1302504,Manacapuru - AM,2010,Total,85.9
1302553,Manaquiri - AM,2010,Total,90.0
1302603,Manaus - AM,2010,Total,96.2
1302702,Manicoré - AM,2010,Total,84.5
1302801,Maraã - AM,2010,Total,82.9
1302900,Maués - AM,2010,Total,90.0
1303007,Nhamundá - AM,2010,Total,92.0
1303106,Nova Olinda do Norte - AM,2010,Total,87.8
1303205,Novo Airão - AM,2010,Total,85.3
1303304,Novo Aripuanã - AM,2010,Total,81.2
1303403,Parintins - AM,2010,Total,94.3
1303502,Pauini - AM,2010,Total,71.4
1303536,Presidente Figueiredo - AM,2010,Total,93.1
1303569,Rio Preto da Eva - AM,2010,Total,89.5
1303601,Santa Isabel do Rio Negro - AM,2010,Total,66.5
1303700,Santo Antônio do Içá - AM,2010,Total,79.3
1303809,São Gabriel da Cachoeira - AM,2010,Total,86.8
1303908,São Paulo de Olivença - AM,2010,Total,78.4
1303957,São Sebastião do Uatumã - AM,2010,Total,90.4
1304005,Silves - AM,2010,Total,92.5
1304062,Tabatinga - AM,2010,Total,86.1
1304104,Tapauá - AM,2010,Total,70.6
1304203,Tefé - AM,2010,Total,87.2
1304237,Tonantins - AM,2010,Total,80.9
1304260,Uarini - AM,2010,Total,81.9
1304302,Urucará - AM,2010,Total,92.6
1304401,Urucurituba - AM,2010,Total,90.9
1400027,Amajari - RR,2010,Total,62.8
1400050,Alto Alegre - RR,2010,Total,59.7
1400100,Boa Vista - RR,2010,Total,94.6
1400159,Bonfim - RR,2010,Total,88.4
1400175,Cantá - RR,2010,Total,84.9
1400209,Caracaraí - RR,2010,Total,88.1
1400233,Caroebe - RR,2010,Total,89.2
1400282,Iracema - RR,2010,Total,70.7
1400308,Mucajaí - RR,2010,Total,84.5
1400407,Normandia - RR,2010,Total,89.5
1400456,Pacaraima - RR,2010,Total,91.2
1400472,Rorainópolis - RR,2010,Total,87.0
1400506,São João da Baliza - RR,2010,Total,89.7
1400605,São Luiz - RR,2010,Total,89.1
1400704,Uiramutã - RR,2010,Total,75.1
1500107,Abaetetuba - PA,2010,Total,87.3
1500131,Abel Figueiredo - PA,2010,Total,84.2
1500206,Acará - PA,2010,Total,78.8
1500305,Afuá - PA,2010,Total,73.3
1500347,Água Azul do Norte - PA,2010,Total,89.1
1500404,Alenquer - PA,2010,Total,85.4
1500503,Almeirim - PA,2010,Total,86.6
1500602,Altamira - PA,2010,Total,88.5
1500701,Anajás - PA,2010,Total,68.9
1500800,Ananindeua - PA,2010,Total,96.6
1500859,Anapu - PA,2010,Total,82.1
1500909,Augusto Corrêa - PA,2010,Total,75.9
1500958,Aurora do Pará - PA,2010,Total,77.5
1501006,Aveiro - PA,2010,Total,87.6
1501105,Bagre - PA,2010,Total,76.1
1501204,Baião - PA,2010,Total,86.0
1501253,Bannach - PA,2010,Total,83.2
1501303,Barcarena - PA,2010,Total,91.9
1501402,Belém - PA,2010,Total,96.7
1501451,Belterra - PA,2010,Total,88.6
1501501,Benevides - PA,2010,Total,93.5
1501576,Bom Jesus do Tocantins - PA,2010,Total,81.0
1501600,Bonito - PA,2010,Total,78.9
1501709,Bragança - PA,2010,Total,85.2
1501725,Brasil Novo - PA,2010,Total,83.8
1501758,Brejo Grande do Araguaia - PA,2010,Total,82.0
1501782,Breu Branco - PA,2010,Total,81.6
1501808,Breves - PA,2010,Total,76.3
1501907,Bujaru - PA,2010,Total,86.0
1501956,Cachoeira do Piriá - PA,2010,Total,72.6
1502004,Cachoeira do Arari - PA,2010,Total,86.8
1502103,Cametá - PA,2010,Total,89.7
1502152,Canaã dos Carajás - PA,2010,Total,90.8
1502202,Capanema - PA,2010,Total,87.0
1502301,Capitão Poço - PA,2010,Total,77.6
1502400,Castanhal - PA,2010,Total,92.6
1502509,Chaves - PA,2010,Total,73.7
1502608,Colares - PA,2010,Total,90.4
1502707,Conceição do Araguaia - PA,2010,Total,87.1
1502756,Concórdia do Pará - PA,2010,Total,80.8
1502764,Cumaru do Norte - PA,2010,Total,75.6
1502772,Curionópolis - PA,2010,Total,83.8
1502806,Curralinho - PA,2010,Total,78.1
1502855,Curuá - PA,2010,Total,85.7
1502905,Curuçá - PA,2010,Total,89.6
1502939,Dom Eliseu - PA,2010,Total,84.2
1502954,Eldorado do Carajás - PA,2010,Total,80.5
1503002,Faro - PA,2010,Total,90.1
1503044,Floresta do Araguaia - PA,2010,Total,82.9
1503077,Garrafão do Norte - PA,2010,Total,70.7
1503093,Goianésia do Pará - PA,2010,Total,79.3
1503101,Gurupá - PA,2010,Total,76.2
1503200,Igarapé-Açu - PA,2010,Total,85.3
1503309,Igarapé-Miri - PA,2010,Total,81.6
1503408,Inhangapi - PA,2010,Total,85.4
1503457,Ipixuna do Pará - PA,2010,Total,79.3
1503507,Irituia - PA,2010,Total,82.1
1503606,Itaituba - PA,2010,Total,87.5
1503705,Itupiranga - PA,2010,Total,78.4
1503754,Jacareacanga - PA,2010,Total,74.1
1503804,Jacundá - PA,2010,Total,85.5
1503903,Juruti - PA,2010,Total,91.6
1504000,Limoeiro do Ajuru - PA,2010,Total,85.6
1504059,Mãe do Rio - PA,2010,Total,84.0
1504109,Magalhães Barata - PA,2010,Total,89.8
1504208,Marabá - PA,2010,Total,89.3
1504307,Maracanã - PA,2010,Total,88.6
1504406,Marapanim - PA,2010,Total,91.1
1504422,Marituba - PA,2010,Total,95.3
1504455,Medicilândia - PA,2010,Total,83.3
1504505,Melgaço - PA,2010,Total,64.3
1504604,Mocajuba - PA,2010,Total,89.1
1504703,Moju - PA,2010,Total,81.9
1504802,Monte Alegre - PA,2010,Total,86.8
1504901,Muaná - PA,2010,Total,87.3
1504950,Nova Esperança do Piriá - PA,2010,Total,75.2
1504976,Nova Ipixuna - PA,2010,Total,80.1
1505007,Nova Timboteua - PA,2010,Total,81.4
1505031,Novo Progresso - PA,2010,Total,91.9
1505064,Novo Repartimento - PA,2010,Total,81.0
1505106,Óbidos - PA,2010,Total,87.8
1505205,Oeiras do Pará - PA,2010,Total,81.5
1505304,Oriximiná - PA,2010,Total,89.2
1505403,Ourém - PA,2010,Total,81.1
1505437,Ourilândia do Norte - PA,2010,Total,88.3
1505486,Pacajá - PA,2010,Total,79.8
1505494,Palestina do Pará - PA,2010,Total,78.5
1505502,Paragominas - PA,2010,Total,88.3
1505536,Parauapebas - PA,2010,Total,92.4
1505551,Pau D'Arco - PA,2010,Total,79.6
1505601,Peixe-Boi - PA,2010,Total,79.6
1505635,Piçarra - PA,2010,Total,79.8
1505650,Placas - PA,2010,Total,84.4
1505700,Ponta de Pedras - PA,2010,Total,86.3
1505809,Portel - PA,2010,Total,71.0
1505908,Porto de Moz - PA,2010,Total,78.0
1506005,Prainha - PA,2010,Total,82.8
1506104,Primavera - PA,2010,Total,80.5
1506112,Quatipuru - PA,2010,Total,78.3
1506138,Redenção - PA,2010,Total,89.3
1506161,Rio Maria - PA,2010,Total,85.4
1506187,Rondon do Pará - PA,2010,Total,81.7
1506195,Rurópolis - PA,2010,Total,83.9
1506203,Salinópolis - PA,2010,Total,89.8
1506302,Salvaterra - PA,2010,Total,91.4
1506351,Santa Bárbara do Pará - PA,2010,Total,92.1
1506401,Santa Cruz do Arari - PA,2010,Total,89.0
1506500,Santa Izabel do Pará - PA,2010,Total,91.2
1506559,Santa Luzia do Pará - PA,2010,Total,76.4
1506583,Santa Maria das Barreiras - PA,2010,Total,82.8
1506609,Santa Maria do Pará - PA,2010,Total,81.0
1506708,Santana do Araguaia - PA,2010,Total,86.6
1506807,Santarém - PA,2010,Total,93.2
1506906,Santarém Novo - PA,2010,Total,84.5
1507003,Santo Antônio do Tauá - PA,2010,Total,89.1
1507102,São Caetano de Odivelas - PA,2010,Total,89.1
1507151,São Domingos do Araguaia - PA,2010,Total,81.8
1507201,São Domingos do Capim - PA,2010,Total,79.0
1507300,São Félix do Xingu - PA,2010,Total,88.8
1507409,São Francisco do Pará - PA,2010,Total,85.3
1507458,São Geraldo do Araguaia - PA,2010,Total,82.8
1507466,São João da Ponta - PA,2010,Total,91.4
1507474,São João de Pirabas - PA,2010,Total,81.1
1507508,São João do Araguaia - PA,2010,Total,77.3
1507607,São Miguel do Guamá - PA,2010,Total,84.2
1507706,São Sebastião da Boa Vista - PA,2010,Total,84.8
1507755,Sapucaia - PA,2010,Total,79.7
1507805,Senador José Porfírio - PA,2010,Total,79.8
1507904,Soure - PA,2010,Total,90.8
1507953,Tailândia - PA,2010,Total,87.6
1507961,Terra Alta - PA,2010,Total,91.0
1507979,Terra Santa - PA,2010,Total,92.4
1508001,Tomé-Açu - PA,2010,Total,85.2
1508035,Tracuateua - PA,2010,Total,79.4
1508050,Trairão - PA,2010,Total,82.2
1508084,Tucumã - PA,2010,Total,88.8
1508100,Tucuruí - PA,2010,Total,91.3
1508126,Ulianópolis - PA,2010,Total,86.4
1508159,Uruará - PA,2010,Total,86.2
1508209,Vigia - PA,2010,Total,90.5
1508308,Viseu - PA,2010,Total,78.9
1508357,Vitória do Xingu - PA,2010,Total,85.1
1508407,Xinguara - PA,2010,Total,88.8
1600055,Serra do Navio - AP,2010,Total,90.5
1600105,Amapá - AP,2010,Total,89.9
1600154,Pedra Branca do Amapari - AP,2010,Total,83.6
1600204,Calçoene - AP,2010,Total,88.5
1600212,Cutias - AP,2010,Total,89.9
1600238,Ferreira Gomes - AP,2010,Total,87.6
1600253,Itaubal - AP,2010,Total,87.4
1600279,Laranjal do Jari - AP,2010,Total,89.3
1600303,Macapá - AP,2010,Total,94.1
1600402,Mazagão - AP,2010,Total,81.3
1600501,Oiapoque - AP,2010,Total,91.7
1600535,Porto Grande - AP,2010,Total,88.4
1600550,Pracuúba - AP,2010,Total,89.4
1600600,Santana - AP,2010,Total,91.0
1600709,Tartarugalzinho - AP,2010,Total,84.9
1600808,Vitória do Jari - AP,2010,Total,86.3
1700251,Abreulândia - TO,2010,Total,87.7
1700301,Aguiarnópolis - TO,2010,Total,84.6
1700350,Aliança do Tocantins - TO,2010,Total,87.2
1700400,Almas - TO,2010,Total,80.9
1700707,Alvorada - TO,2010,Total,90.7
1701002,Ananás - TO,2010,Total,83.2
1701051,Angico - TO,2010,Total,84.4
1701101,Aparecida do Rio Negro - TO,2010,Total,86.9
1701309,Aragominas - TO,2010,Total,78.7
1701903,Araguacema - TO,2010,Total,85.5
1702000,Araguaçu - TO,2010,Total,86.9
1702109,Araguaína - TO,2010,Total,92.1
1702158,Araguanã - TO,2010,Total,84.7
1702208,Araguatins - TO,2010,Total,82.5
1702307,Arapoema - TO,2010,Total,84.7
